Date;PIB nominal (en milliards de FCFA);              Poids (%) : Secteur primaire;                                 Secteur secondaire;                                 Secteur tertiaire;          . Taux de croissance reel du PIB (en %);              Contribution a la croissance : Primaire;                                                                          Secondaire;                                                                          Tertiaire;Epargne interieure (en milliards de FCFA);          . Taux d'epargne interieure (en %);                .. Taux d'epargne interieure publique (en %);Investissement (en milliards de F CFA);          . Taux d'investissement (en %);                .. Taux d'investissement public (en %);Taux d'inflation moyen annuel (IPC) (en %);Taux d'inflation en glissement annuel (fin decembre) (en %);Recettes totales et dons (R1);          . Recettes totales hors dons (R2);                  . Recettes fiscales;                              (en % du PIB);Depenses totales et prets nets (D1);                .Depenses courantes (D3);             . Investissements sur ressources internes ;Solde primaire de base sur recettes fiscales (en %);Solde budgetaire de base;Solde budgetaire global, avec dons (base engagement) (R1 - D1);Solde budgetaire global, hors dons (base engagement) (R2 - D1);Encours de la dette;           (en % du PIB);Service de la dette regle;              . interets;Exportations de biens FOB :;Importations de biens FOB;Balance des biens;Compte des transactions courantes (1+2+3);Balance courante sur PIB (en %);Balance courante hors dons publics;Balance courante hors dons sur PIB (en %);SOLDE GLOBAL apres ajustement;Pour memoire : financement exceptionnel;Degre d'ouverture (Export B&S+Import B&S)/PIB (en %);Agregats de Monnaie - Actifs exterieurs nets;Agregats de Monnaie - Creances interieures;Agregats de Monnaie - Creances interieures - Creances sur les autres secteurs;Agregats de Monnaie - Masse monetaire (M2);Atifs exterieurs nets total - BCEAO - Creances sur les non-residents - Avoirs officiels de reserve;Taux de couverture de l'emission monetaire
2005-01-01;33734.87;21.38;19.98;58.64;3.46;0.0;0.0;0.0;4142.23;12.28;1.66;5926.21;17.57;4.91;4.34;2.86;4633.1;3998.6;3579.5;10.61;5289.3;3454.0;797.4;1.49;-236.2;-763.9;-1290.7;12757.55;37.82;216.09;59.53;6658.41;-6862.02;-203.61;-1302.61;-5.168;-1481.349;-5.878;39.7;553.24;34.593;3254.496;4891.396;4443.907;5611.004;;119.19
2006-01-01;36472.95;20.94;20.41;58.65;3.4;0.0;0.0;0.0;4510.64;12.37;1.7;6041.82;16.57;4.89;2.26;2.7;6890.8;4401.2;3907.0;10.71;5750.0;3793.1;924.8;-1.76;-306.3;1109.7;-1348.8;8681.42;23.8;206.63;50.48;7390.93;-7292.49;98.44;-1008.11;-3.793;-1172.686;-4.412;561.83;4644.1;35.427;3859.984;5280.144;5052.559;6419.975;;117.48
2007-01-01;38930.3;19.97;20.64;59.39;2.98;-0.09;0.05;2.45;5198.0;13.35;2.2;6889.39;17.7;5.15;2.36;2.94;5815.1;5014.6;4296.5;11.04;6375.9;4198.8;1021.9;2.19;-166.2;-634.7;-1361.3;8427.07;21.65;289.71;71.416;7212.73;-8208.62;-995.89;-1800.09;-6.35;-2118.49;-7.473;713.54;338.39;35.505;4561.158;5912.905;5774.368;7616.544;;114.08
2008-01-01;41173.87;22.23;19.65;58.12;-2.1;1.36;0.38;2.49;4679.83;11.37;2.16;7762.03;18.85;4.93;7.4;7.49;6384.4;5498.8;4703.3;11.42;6978.4;4647.2;1094.4;1.61;-206.1;-806.6;-1479.6;8791.432;21.35;593.04;142.976;8394.63;-9826.77;-1432.14;-2208.74;-6.905;-2603.978;-8.141;63.65;-114.97;36.487;4656.956;6862.732;6653.023;8487.332;;107.7
2009-01-01;43313.47;21.43;20.26;58.3;3.08;-0.65;1.09;2.63;5664.83;13.08;1.87;7596.8;17.54;5.93;0.39;-1.0;7051.2;5758.3;5191.3;11.99;7883.5;4971.4;1407.1;-5.33;-595.9;-1226.1;-2125.2;10784.969;24.9;319.408;91.056;9122.3;-9288.87;-166.58;-1188.75;-3.54;-1799.866;-5.36;391.5;-150.37;34.79;5158.206;8429.376;7498.083;10078.994;;112.2
2010-01-01;46615.16;22.56;19.93;57.5;4.06;0.59;0.5;3.0;6402.58;13.73;1.91;8943.53;19.19;5.31;1.4;3.9;7056.4;6230.5;5538.3;11.9;8103.8;5342.1;1407.2;-3.3;-518.8;-1047.4;-1873.3;10890.5;23.4;575.5;164.0;10337.13;10832.59;-495.47;-1739.3;-3.7;-2176.6;-4.7;139.5;470.6;28.1;5577.56;10036.36;8442.49;11727.74;;112.9
2011-01-01;49153.09;22.77;20.79;56.4;0.72;-0.92;0.2;1.5;7043.21;14.33;1.01;8673.42;17.65;5.27;3.9;2.5;6997.9;6128.7;5472.7;11.1;8475.8;5630.4;1530.0;-11.2;-1031.7;-1477.9;-2347.1;11911.4;24.2;353.6;115.3;11316.67;10919.09;397.58;-737.7;-1.5;-1126.4;-2.3;-10.4;311.4;30.5;5787.21;11357.38;9416.34;13072.75;;108.2
2012-01-01;54357.37;22.67;20.82;56.5;6.87;1.65;0.9;4.3;7941.55;14.61;1.77;10731.83;19.74;5.57;2.4;2.8;8544.4;7599.4;6675.1;12.3;9826.3;6638.4;1942.4;-7.7;-981.4;-1281.9;-2226.9;10231.0;18.8;409.6;155.2;12798.41;13367.57;-569.17;-2174.7;-4.0;-2558.1;-4.7;142.1;4162.5;28.7;5569.34;13055.26;10761.16;14270.93;;105.5
2013-01-01;58594.01;21.77;21.07;57.2;5.84;0.8;1.7;3.3;8592.37;14.66;2.29;12901.51;22.02;6.64;1.5;0.0;9556.2;8291.2;7232.3;12.3;11063.2;6949.7;2213.5;-5.9;-872.0;-1507.0;-2772.0;9390.0;16.0;483.0;208.6;12701.32;14104.12;-1402.8;-3031.6;-5.2;-3434.4;-5.9;-568.2;30.0;31.2;4731.67;15497.59;12370.87;15845.21;;90.4
2014-01-01;64817.0;21.84;21.41;56.8;7.14;1.94;1.4;3.7;11213.94;17.3;2.05;15229.71;23.5;6.45;-0.1;0.4;10182.8;8862.1;7723.9;12.2;11781.9;7560.8;2317.6;-6.7;-1016.3;-1599.1;-2919.8;11258.4;17.7;512.4;240.5;13340.49;14370.21;-1029.72;-2547.1;-4.0;-2980.5;-4.7;74.5;31.5;28.3;4747.44;18114.98;14216.03;17870.18;;84.3
